latitude,longtitude,depth,temperature,time
59.218485,10.91695667,4.6,,1.64208E+12
,,4.6,5,1.64208E+12
,,4.6,5,1.64208E+12
,,4.6,5,1.64208E+12
,,4.6,5,1.64208E+12
,,4.6,5,1.64208E+12
,,4.61,5,1.64208E+12
,,4.6,5,1.64208E+12
,,4.54,5,1.64208E+12
,,4.52,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.51,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.51,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.5,5,1.64208E+12
,,4.52,5,1.64208E+12
,,4.57,5,1.64208E+12
,,4.58,5,1.64208E+12
,,4.63,5,1.64208E+12
59.21847333,10.91694833,4.63,,1.64208E+12
,,4.63,5,1.64208E+12
,,4.63,5,1.64208E+12
,,4.63,5,1.64208E+12
,,4.64,5,1.64208E+12
,,4.65,5,1.64208E+12
,,4.65,5,1.64208E+12
,,4.67,5,1.64208E+12
59.218475,10.91697,4.67,,1.64208E+12
,,4.67,5,1.64208E+12
,,4.67,5,1.64208E+12
,,4.66,5,1.64208E+12
,,4.65,5,1.64208E+12
,,4.61,5,1.64208E+12
,,4.62,5,1.64208E+12
,,4.61,5,1.64208E+12
,,4.61,5,1.64208E+12
,,4.59,5,1.64208E+12
,,4.58,5,1.64208E+12
59.21847667,10.91699333,4.58,,1.64208E+12
,,4.56,5,1.64208E+12
,,4.53,5,1.64208E+12
,,4.52,5,1.64208E+12
,,4.52,5,1.64208E+12
,,4.52,5,1.64208E+12
,,4.51,5,1.64208E+12
,,4.53,5,1.64208E+12
,,4.53,5,1.64208E+12
,,4.53,5,1.64208E+12
,,4.53,5,1.64208E+12
,,4.54,5,1.64208E+12
,,4.54,5,1.64208E+12
,,4.55,5,1.64208E+12
,,4.56,5,1.64208E+12
59.21847333,10.91699667,4.56,,1.64208E+12
,,4.55,5,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.54,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.5,4.8,1.64208E+12
59.21846833,10.916995,4.5,,1.64208E+12
,,4.51,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.57,4.8,1.64208E+12
,,4.59,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
59.21846667,10.91699167,4.58,,1.64208E+12
,,4.59,4.8,1.64208E+12
,,4.59,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.52,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.54,4.8,1.64208E+12
,,4.54,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
59.21846333,10.91699833,4.56,,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.62,4.8,1.64208E+12
,,4.63,4.8,1.64208E+12
,,4.64,4.8,1.64208E+12
,,4.64,4.8,1.64208E+12
,,4.64,4.8,1.64208E+12
,,4.62,4.8,1.64208E+12
,,4.61,4.8,1.64208E+12
59.21845333,10.91699167,4.61,,1.64208E+12
,,4.61,4.8,1.64208E+12
,,4.6,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
,,4.54,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.53,4.8,1.64208E+12
,,4.54,4.8,1.64208E+12
,,4.56,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.6,4.8,1.64208E+12
59.21845167,10.91700167,4.6,,1.64208E+12
,,4.59,4.8,1.64208E+12
,,4.6,4.8,1.64208E+12
,,4.62,4.8,1.64208E+12
,,4.61,4.8,1.64208E+12
,,4.61,4.8,1.64208E+12
,,4.61,4.8,1.64208E+12
,,4.6,4.8,1.64208E+12
,,4.6,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.58,4.8,1.64208E+12
,,4.55,4.8,1.64208E+12
59.21844333,10.917005,4.55,,1.64208E+12
,,4.54,4.6,1.64208E+12
,,4.55,4.6,1.64208E+12
,,4.54,4.6,1.64208E+12
,,4.52,4.6,1.64208E+12
,,4.54,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.62,4.6,1.64208E+12
,,4.66,4.6,1.64208E+12
,,4.67,4.6,1.64208E+12
,,4.68,4.6,1.64208E+12
,,4.7,4.6,1.64208E+12
,,4.7,4.6,1.64208E+12
59.21843833,10.91700167,4.7,,1.64208E+12
,,4.72,4.6,1.64208E+12
,,4.72,4.6,1.64208E+12
,,4.75,4.6,1.64208E+12
,,4.76,4.6,1.64208E+12
,,4.7,4.6,1.64208E+12
,,4.69,4.6,1.64208E+12
,,4.65,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
59.21843667,10.91700667,4.58,,1.64208E+12
,,4.56,4.6,1.64208E+12
,,4.54,4.6,1.64208E+12
,,4.54,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.63,4.6,1.64208E+12
,,4.64,4.6,1.64208E+12
,,4.65,4.6,1.64208E+12
,,4.64,4.6,1.64208E+12
,,4.66,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
59.21843167,10.91700833,4.61,,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.55,4.6,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.62,4.6,1.64208E+12
59.21843333,10.917015,4.62,,1.64208E+12
,,4.62,4.6,1.64208E+12
,,4.62,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.61,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.6,4.6,1.64208E+12
,,4.58,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.56,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.55,4.6,1.64208E+12
,,4.56,4.6,1.64208E+12
,,4.56,4.6,1.64208E+12
59.21843667,10.91702333,4.56,,1.64208E+12
,,4.56,4.6,1.64208E+12
,,4.57,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.59,4.6,1.64208E+12
,,4.63,4.6,1.64208E+12
,,4.69,4.6,1.64208E+12
,,4.69,4.6,1.64208E+12
,,4.69,4.6,1.64208E+12
,,4.69,4.6,1.64208E+12
,,4.68,4.4,1.64208E+12
59.21843667,10.91702833,4.68,,1.64208E+12
,,4.69,4.4,1.64208E+12
,,4.7,4.4,1.64208E+12
,,4.77,4.4,1.64208E+12
,,4.72,4.4,1.64208E+12
,,4.72,4.4,1.64208E+12
,,4.72,4.4,1.64208E+12
,,4.68,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
59.21843667,10.91704,4.61,,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
59.218435,10.91704833,4.59,,1.64208E+12
,,4.58,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
59.21843667,10.91705167,4.64,,1.64208E+12
,,4.65,4.4,1.64208E+12
,,4.66,4.4,1.64208E+12
,,4.68,4.4,1.64208E+12
,,4.69,4.4,1.64208E+12
,,4.66,4.4,1.64208E+12
,,4.66,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.53,4.4,1.64208E+12
59.21843333,10.91705667,4.53,,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.53,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.58,4.4,1.64208E+12
,,4.58,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
59.21843333,10.91706333,4.59,,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.58,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
59.21842833,10.91707,4.54,,1.64208E+12
,,4.53,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.51,4.4,1.64208E+12
,,4.5,4.4,1.64208E+12
,,4.49,4.4,1.64208E+12
,,4.49,4.4,1.64208E+12
,,4.5,4.4,1.64208E+12
,,4.5,4.4,1.64208E+12
,,4.51,4.4,1.64208E+12
,,4.51,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
59.21842333,10.91706833,4.59,,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.53,4.4,1.64208E+12
,,4.51,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
59.21842167,10.91706333,4.52,,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
59.21842167,10.91706167,4.65,,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.6,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.5,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.52,4.4,1.64208E+12
,,4.53,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
,,4.54,4.4,1.64208E+12
,,4.56,4.4,1.64208E+12
,,4.57,4.4,1.64208E+12
59.21842,10.917045,4.57,,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
,,4.66,4.4,1.64208E+12
,,4.67,4.4,1.64208E+12
,,4.67,4.4,1.64208E+12
,,4.7,4.4,1.64208E+12
,,4.69,4.4,1.64208E+12
,,4.66,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.64,4.4,1.64208E+12
,,4.65,4.4,1.64208E+12
59.21841833,10.917045,4.65,,1.64208E+12
,,4.61,4.4,1.64208E+12
,,4.63,4.4,1.64208E+12
,,4.62,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.59,4.4,1.64208E+12
,,4.55,4.4,1.64208E+12
