latitude,longtitude,depth,temperature,time
,,4.54,5.0,1642080544914
,,4.53,5.0,1642080544991
,,4.54,5.0,1642080545042
,,4.57,5.0,1642080545254
,,4.58,5.0,1642080545324
,,4.6,5.0,1642080545391
,,4.6,5.0,1642080545465
,,4.6,5.0,1642080545534
59.218484999999994,10.916956666666666,4.6,,1642080545534
,,4.6,5.0,1642080546444
,,4.6,5.0,1642080546513
,,4.6,5.0,1642080546583
,,4.6,5.0,1642080546655
,,4.6,5.0,1642080546723
,,4.61,5.0,1642080546807
,,4.6,5.0,1642080546870
,,4.54,5.0,1642080546957
,,4.52,5.0,1642080547005
,,4.5,5.0,1642080547111
,,4.5,5.0,1642080547143
,,4.51,5.0,1642080547213
,,4.5,5.0,1642080547286
,,4.51,5.0,1642080547353
,,4.5,5.0,1642080547422
,,4.5,5.0,1642080547495
,,4.5,5.0,1642080547565
,,4.5,5.0,1642080547634
,,4.52,5.0,1642080547729
,,4.57,5.0,1642080547774
,,4.58,5.0,1642080547852
,,4.63,5.0,1642080547914
59.218473333333336,10.916948333333334,4.63,,1642080547914
,,4.63,5.0,1642080548161
,,4.63,5.0,1642080548193
,,4.63,5.0,1642080548615
,,4.64,5.0,1642080548683
,,4.65,5.0,1642080548756
,,4.65,5.0,1642080548821
,,4.67,5.0,1642080548907
59.218475000000005,10.91697,4.67,,1642080548907
,,4.67,5.0,1642080548965
,,4.67,5.0,1642080549056
,,4.66,5.0,1642080549103
,,4.65,5.0,1642080549206
,,4.61,5.0,1642080549315
,,4.62,5.0,1642080549384
,,4.61,5.0,1642080549452
,,4.61,5.0,1642080549733
,,4.59,5.0,1642080549802
,,4.58,5.0,1642080549875
59.21847666666666,10.916993333333334,4.58,,1642080549875
,,4.56,5.0,1642080549955
,,4.53,5.0,1642080550013
,,4.52,5.0,1642080550108
,,4.52,5.0,1642080550152
,,4.52,5.0,1642080550258
,,4.51,5.0,1642080550295
,,4.53,5.0,1642080550366
,,4.53,5.0,1642080550435
,,4.53,5.0,1642080550506
,,4.53,5.0,1642080550575
,,4.54,5.0,1642080550643
,,4.54,5.0,1642080550713
,,4.55,5.0,1642080550782
,,4.56,5.0,1642080550854
59.218473333333336,10.916996666666668,4.56,,1642080550854
,,4.55,5.0,1642080550924
,,4.56,4.8,1642080551005
,,4.56,4.8,1642080551064
,,4.56,4.8,1642080551154
,,4.56,4.8,1642080551204
,,4.55,4.8,1642080551307
,,4.56,4.8,1642080551343
,,4.54,4.8,1642080551414
,,4.53,4.8,1642080551483
,,4.53,4.8,1642080551554
,,4.53,4.8,1642080551624
,,4.52,4.8,1642080551692
,,4.52,4.8,1642080551762
,,4.52,4.8,1642080551833
,,4.5,4.8,1642080551909
59.21846833333334,10.916995000000002,4.5,,1642080551909
,,4.51,4.8,1642080551979
,,4.52,4.8,1642080552053
,,4.52,4.8,1642080552114
,,4.52,4.8,1642080552221
,,4.53,4.8,1642080552254
,,4.52,4.8,1642080552355
,,4.53,4.8,1642080552392
,,4.55,4.8,1642080552468
,,4.55,4.8,1642080552535
,,4.56,4.8,1642080552603
,,4.57,4.8,1642080552671
,,4.59,4.8,1642080552742
,,4.58,4.8,1642080552812
,,4.58,4.8,1642080552885
59.21846666666667,10.916991666666668,4.58,,1642080552885
,,4.59,4.8,1642080552953
,,4.59,4.8,1642080553024
,,4.58,4.8,1642080553104
,,4.58,4.8,1642080553163
,,4.55,4.8,1642080553255
,,4.52,4.8,1642080553309
,,4.52,4.8,1642080553404
,,4.52,4.8,1642080553456
,,4.53,4.8,1642080553586
,,4.53,4.8,1642080553655
,,4.54,4.8,1642080553724
,,4.54,4.8,1642080553792
,,4.56,4.8,1642080553867
59.21846333333333,10.916998333333334,4.56,,1642080553867
